ds_sigla	no_titulo	nu_indice_h	no_estrato
WEBSCI	Web Science Conference	25	A2
WIMOB	International Conference on Wireless and Mobile Computing, Networking and Communications	20	A2
WOWMOM	International Symposium on a World of Wireless, Mobile and Multimedia Networks	22	A2
3DIC	3D System Integration	12	B1
3DUI	IEEE Symposium on 3D User Interfaces	17	B1
ADBIS	East European Conference on Advances in Databases and Information Systems	12	B1
AGI	Conference on Artificial General Intelligence	14	B1
AGILE	Agile Conference	16	B1
AH	Augmented Human International Conference	17	B1
AHS	Adaptive Hardware and Systems	12	B1
AI	Canadian Conference on Artificial Intelligence	12	B1
APLAS	Asian Symposium on Programming Languages and Systems	13	B1
ARC	International Symposium on Applied Reconfigurable Computing	13	B1
ASAP	IEEE International Conference on Application-specific Systems, Architectures and Processors	14	B1
BIGDATA	IEEE International Congress on BigData	18	B1
BIOSIG	International Conference of the Biometrics Special Interest Group	12	B1
BMSB	International Symposium on Broadband Multimedia Systems and Broadcasting	14	B1
CAIP	International Conference on Computer Analysis of Images and Patterns 	14	B1
CANS	International Conference on Cryptology and Network Security	12	B1
CASCON	Annual International Conference on Computer Science and Software Engineering	12	B1
CASE	IEEE Conference on Automation Science and Engineering	17	B1
CASES	International Conference on Compilers, Architecture, and Synthesis for Embedded Systems	15	B1
CASON	International Conferennce on Computational Aspects of Social Networks	12	B1
CBMI	International Workshop on Content-Based Multimedia Indexing	12	B1
CBMS	International Symposium on Computer-Based Medical Systems	16	B1
CBSE	International ACM Sigsoft Symposium on Component-Based Software Engineering	14	B1
CCCG	Canadian Conference on Computational Geometry	12	B1
CDC	IEEE Conference on Decision and Control	45	B1
CF	ACM International Conference on Computing Frontiers	15	B1
CGC	International Conference on Cloud and Green Computing 	12	B1
CIARP	Iberoamerican Congress on Pattern Recognition	12	B1
CIDM	Symposium on Computational Intelligence and Data Mining	13	B1
CISIS	International Conference on Complex, Intelligent, and Software Intensive Systems	16	B1
CISTI	Iberian Conference on Information Systems and Technologies	13	B1
CIT	IEEE International Conference on Computer and Information Technology	13	B1
CloudNet	IEEE International Conference on Cloud Networking	13	B1
CMSB	International Conference on Computational Methods in Systems Biology	12	B1
COCOON	International Computing and Combinatorics Conference	13	B1
CogSIMA	IEEE International Multi-Disciplinary Conference on Cognitive Methods in Situation Awareness and Decision Support	13	B1
CPM	Annual Symposium on Combinatorial Pattern Matching	14	B1
CSCWD	IEEE International Conference on Computer Supported Cooperative Work in Design	13	B1
CSE	International Conference on Computational Science and Engineering	12	B1
CSEE&T	Conference on Software Engineering Education and Training	13	B1
DAS	International Workshop on Document Analysis Systems	17	B1
DAWAK	International Conference on Big Data Analytics and Knowledge Discovery	14	B1
DCC	Data Compression Conference	18	B1
DDECS	International Symposium on Design and Diagnostics of Electronic Circuits and Systems	12	B1
DEXA	International Conference on Database and Expert Systems Applications	13	B1
DFT	IEEE International Symposium on Defect and Fault Tolerance in VLSI Systems	12	B1
DGO	Annual International Conference on Digital Government Research	14	B1
DOCENG	ACM SIGWEB International Symposium on Document Engineering	14	B1
DOLAP	 International Workshop On Data Warehousing and OLAP	14	B1
DRCN	International Conference on the Design of Reliable Communication Networks	13	B1
DSD	Euromicro Conference on Digital System Design	16	B1
ICDSP	IEEE International Conference on Digital Signal Processing	18	B1
EASE	International Conference on Evaluation and Assessment in Software Engineering	14	B1
ECAL	European Conference on Artificial Life	13	B1
ECMDAFA	European Conference on Modelling Foundations and Applications	13	B1
ECSA	European Conference on Software Architecture	15	B1
ECSQARU	European Conference on Symbolic and Quantitative Approaches to Reasoning and Uncertainty	12	B1
EGOV	International Conference on Electronic Government	12	B1
EMO	International Conference on Evolutionary Multi-Criterion Optimization	18	B1
ER	International Conference on Conceptual Modeling	17	B1
ESANN	European Symposium on Artificial Neural Networks, Computational Intelligence and Machine Learning	15	B1
ESCIENCE	IEEE International Conference on e-Science	18	B1
ETS	European Test Symposium	12	B1
EuroGP	European Conference on Genetic Programming	12	B1
EVOAPPLICATIONS	European Conference on the Applications of Evolutionary Computation	18	B1
EVOCOP	European Conference on Evolutionary Computation in Combinatorial Optimization	13	B1
EWSDN	European Workshop on Software Defined Networks	17	B1
FEDCSIS	Federated Conference on Computer Science and Information Systems	17	B1
FIE	IEEE Frontiers in Education Conference	16	B1
FLAIRS	International Florida Artificial Intelligence Conference (AAAI)	16	B1
FSKD	International Conference on Fuzzy Systems and Knowledge Discovery	15	B1
FSTTCS	Annual Conference on Foundations of Software Technology and Theoretical Computer Science	16	B1
FUZZIEEE	IEEE International Conference on Fuzzy Systems	18	B1
GRAPHICSINTERFACE	International Conference on Graphics, Visualization, & Human-Computer Interation	15	B1
GLOBALSIP	Global Conference on Signal and Information Processing	17	B1
GLVLSI	ACM Great Lakes Symposium on VLSI	12	B1
HAIS	International Conference on Hybrid Artificial Intelligence Systems	15	B1
HASE	IEEE International Symposium on High Assurance Systems Engineering	13	B1
HCOMP	Conference on Human Computation and Crowdsourcing	14	B1
HIPC	IEEE International Conference on High Performance Computing	14	B1
HPCS	International Conference on High Performance Computing & Simulation	18	B1
IAT	IEEE/WIC/ACM International Conference on Intelligent Agent Technology	18	B1
ICAART	International Conference on Agents and Artificial Intelligence	14	B1
ICALT	IEEE International Conference on Advanced Learning Technologies	15	B1
ICANN	International Conference on Artificial Neural Networks	16	B1
ICAR	International Conference on Advanced Robotics	14	B1
ICASSP	IEEE International Conference on Acoustics, Speech and Signal Processing	61	B1
ICCA	International Conference on Control and Automation	12	B1
ICCSA	International Conference on Computational Science and Its Applications	16	B1
ICEBE	International Conference on e-Business Engineering	12	B1
ICEC	IFIP International Conference on Entertainment Computing	12	B1
ICFEM	International Conference on Formal Engineering Methods	15	B1
ICFHR	International Conference on Frontiers in Handwriting Recognition	15	B1
ICGSE	IEEE International Conference on Global Software Engineering	15	B1
ICIAP	International Conference on Image Analysis and Processing	12	B1
ICIAR	International Conference on Image Analysis and Recognition	12	B1
ICIC	International Conference on Intelligent Computing	13	B1
ICITST	International Conference for Internet Technology and Secured Transactions	15	B1
ICMLA	IEEE International Conference on Machine Learning and Applications	17	B1
ICNC-FSKD	International Conference on Natural Computation	15	B1
ICONIP	International Conference on Neural Information Processing	16	B1
ICRA	IEEE International Conference on Robotics and Automation	68	B1
ICSC	International Conference on Semantic Computing	15	B1
ICSI	International Conference on Swarm Intelligence	14	B1
ICST	International Conference on Sensing Technology	14	B1
ICT	International Conference on Telecommunications	14	B1
ICTAI	IEEE International Conference on Tools with Artificial Intelligence	17	B1
ICTON	International Conference on Transparent Optical Networks	18	B1
ICVS	International Conference on Computer Vision Systems	12	B1
ICWE	International Conference on Web Engineering	17	B1
IEEENANO	International Conference on Nanotechnology	14	B1
IIWAS	International Conference on Information Integration and Web-based Applications & Services	12	B1
IMR	International Meshing Roundtable and User Forum	16	B1
INCOS	International Conference on Intelligent Networking and Collaborative Systems	15	B1
INDIN	IEEE International Conference on Industrial Informatics	17	B1
IOLTS	IEEE International On-Line Testing Symposium	12	B1
IPCCC	International Performance, Computing, and Communications Conference	12	B1
IRI	IEEE International Conference on Information Reuse and Integration	15	B1
ISAAC	International Symposium Algorithms and Computation	14	B1
ISDA	International Conference on Intelligent Systems Design and Applications	14	B1
ISI	IEEE International Conference on Intelligence and Security Informatics	14	B1
ISM	IEEE International Symposium on Multimedia	13	B1
ISNN	International Symposium on Neural Networks	12	B1
ISORC	IEEE International Symposium on RealTime Distributed Computing 	16	B1
ISPD	ACM International Symposium on Physical Design	17	B1
ISPDC	International Symposium on Parallel and Distributed Computing	12	B1
ISQED	International Symposium on Quality Electronic Design	17	B1
ISVC	International Symposium on Visual Computing	15	B1
ISVLSI	IEEE Computer Society Annual Symposium on VLSI	14	B1
ITNG	International Conference on Information Technology : New Generations	17	B1
ITS	International Conference on Intelligent Tutoring Systems	18	B1
IV	International Conference on Information Visualisation	12	B1
IVS	Intelligent Vehicles Symposium	34	B1
