ds_sigla	no_titulo	no_estrato
ISCC	International Symposium on Computers and Communications	A2
ISLPED	International Symposium on Low Power Electronics and Design	A2
ISMAR	International Symposium on Mixed and Augmented Reality	A2
ISPASS	IEEE International Symposium on Performance Analysis of Systems and Software	A2
ISSRE	IEEE International Symposium on Software Reliability Engineering	A2
ISWCS	International Symposium on Wireless Communication Systems	A2
ITICSE	Conference on Innovation and Technology in Computer Science Education	A2
IUI	International Conference on Intelligent User Interfaces	A2
IWCMC	International Wireless Communications and Mobile Computing Conference	A2
JCDL	ACM/IEEE Joint Conference on Digital Libraries	A2
KR	International Conference on Principles of Knowledge Representation and Reasoning	A2
MASCOTS	International Symposium on the Modeling, Analysis, and Simulation of Computer and Telecommunication Systems	A2
MDM	IEEE International Conference on Mobile Data Management	A2
MIDDLEWARE	International Middleware Conference	A2
MMSYS	ACM Multimedia Systems Conference	A2
MOBIHOC	ACM International Symposium on Mobile Ad Hoc Networking and Computing	A2
MODELS	International Conference on Model Driven Engineering Languages and Systems	A2
MODULARITY	International Conference on Modularity	A2
MSST	IEEE Symposium on Mass Storage Systems and Technologies	A2
NETWORKING	IFIP Networking Conference	A2
NFM	NASA Formal Methods Symposium	A2
NOMS	IEEE/IFIP Network Operations and Management Symposium	A2
OM	International Workshop on Ontology Matching	A2
PacificVis	IEEE Pacific Visualization Symposium	A2
PAKDD	Pacific-Asia Conference on Knowledge Discovery and Data Mining	A2
PAM	Passive and Active Network Measurement Conference	A2
PDP	Euromicro International Conference on Parallel, Distributed and Network-Based Processing	A2
RE	IEEE International Requirements Engineering Conference	A2
RECOMB	International Conference on Research in Computational Molecular Biology	A2
RTSS	Real-Time Systems Symposium	A2
SACRYPT	Workshop on Selected Areas in Cryptography	A2
SANER	IEEE International Conference on Software Analysis, Evolution and Reengineering	A2
SAT	International Conference on Theory and Applications of Satisfiability Testing	A2
SEA	International Symposium on Experimental Algorithms	A2
SEAMS	International Symposium on Software Engineering for Adaptive and Self-Managing Systems	A2
SERVICES	IEEE World Congress on Services	A2
SIGGRAPH	International Conference and Exibition on Computer Graphics and Interactive Techniques	A2
SLT	Workshop on Spoken Language Technology	A2
SMC	IEEE International Conference on Systems, Man and Cybernetics	A2
TABLETOPS	International Conference on Interactive Tabletops and Surfaces	A2
TEI	International Conference on Tangible, Embedded and Embodied Interaction	A2
TREC	Text Retrieval Conference	A2
TRUSTCOM	International Conference on Trust, Security and Privacy in Computing and Communications	A2
UCC	IEEE/ACM International Conference on Utility and Cloud Computing	A2
UMAP	International Conference on User Modeling, Adaptation and Personalization	A2
VAMOS	International Workshop on Variability Modelling of Software-intensive Systems	A2
VAST	IEEE Conference on Visual Analytics Science and Technology	A2
VNC	IEEE Vehicular Networking Conference	A2
WCRE	Working Conference on Reverse Engineering	A2
WEBSCI	Web Science Conference	A2
WIMOB	IEEE International Conference on Wireless and Mobile Computing, Networking and Communications	A2
WOWMOM	International Symposium on a World of Wireless, Mobile and Multimedia Networks	A2
WSC	Winter Simulation Conference	A2
3DIC	International 3D System Integration Conference	B1
3DTV	3DTV Conference: The True Vision-Capture, Transmission and Display of 3D Video	B1
3DUI	IEEE Symposium on 3D User Interfaces	B1
3PGCIC	International Conference on P2P, Parallel, Grid, Cloud and Internet Computing	B1
ACE	International Conference on Advances in Computer Entertainment Technology	B1
ACIVS	Advanced Concepts for Intelligent Vision Systems	B1
ADBIS	East European Conference on Advances in Databases and Information Systems	B1
ADHOC-NOW	International Conference on Ad-Hoc Networks and Wireless	B1
AGI	Conference on Artificial General Intelligence	B1
AGILE	Agile Conference	B1
AH	Augmented Human International Conference	B1
AHS	NASA/ESA Conference on Adaptive Hardware and Systems	B1
AI	Canadian Conference on Artificial Intelligence	B1
AMW	Alberto Mendelzon International Workshop on Foundations of Data Management	B1
APLAS	Asian Symposium on Programming Languages and Systems	B1
ARC	International Symposium on Applied Reconfigurable Computing	B1
ASAP	IEEE International Conference on Application-specific Systems, Architectures and Processors	B1
BIBE	IEEE International Conference on BioInformatics and BioEngineering	B1
BIBM	IEEE International Conference on Bioinformatics and Biomedicine	B1
BIGDATA	IEEE International Congress on BigData	B1
BIOSIG	International Conference of the Biometrics Special Interest Group	B1
BMEI	International Conference BioMedical Engineering and Informatics	B1
BMSB	IEEE International Symposium on Broadband Multimedia Systems and Broadcasting	B1
CAIP	International Conference on Computer Analysis of Images and Patterns	B1
CANS	International Conference on Cryptology and Network Security	B1
CASCON	Annual International Conference on Computer Science and Software Engineering	B1
CASE	IEEE Conference on Automation Science and Engineering	B1
CASES	International Conference on Compilers, Architecture, and Synthesis for Embedded Systems	B1
CASON	International Conferennce on Computational Aspects of Social Networks	B1
CBI	IEEE Conference on Business Informatics	B1
CBMI	International Workshop on Content-Based Multimedia Indexing	B1
CBMS	International Symposium on Computer-Based Medical Systems	B1
CBSE	International ACM Sigsoft Symposium on Component-Based Software Engineering	B1
CCCG	Canadian Conference on Computational Geometry	B1
CCECE	Canadian Conference on Electrical and Computer Engineering	B1
CDC	IEEE Conference on Decision and Control	B1
CF	ACM International Conference on Computing Frontiers	B1
CGC	International Conference on Cloud and Green Computing	B1
CHASE	International Workshop on Cooperative and Human Aspects of Software Engineering	B1
CIARP	Iberoamerican Congress on Pattern Recognition	B1
CIDM	Symposium on Computational Intelligence and Data Mining	B1
CISIS	International Conference on Complex, Intelligent, and Software Intensive Systems	B1
CIT	IEEE International Conference on Computer and Information Technology	B1
CloudNet	IEEE International Conference on Cloud Networking	B1
CMSB	International Conference on Computational Methods in Systems Biology	B1
COCOON	International Computing and Combinatorics Conference	B1
CogSIMA	IEEE International Multi-Disciplinary Conference on Cognitive Methods in Situation Awareness and Decision Support	B1
COMMA	International Conference on Computational Models of Argument	B1
CPM	Annual Symposium on Combinatorial Pattern Matching	B1
CSCWD	IEEE International Conference on Computer Supported Cooperative Work in Design	B1
CSE	International Conference on Computational Science and Engineering	B1
